,epic,m,m_err+,m_err-,pl,p,r,r_err,st_mass,semi_amp
0,201092629,0.709680767157966,0.33004860263167457,0.409512423780657,b,26.810369,2.1,0.1,0.7051052411549912,0.19117389790815636
1,201102594,0.11480097942336476,0.1346403246747317,0.08872603276101625,b,6.513566,2.73,0.83,0.342,0.08028325124429261
2,201110617,0.00304495955567875,0.002246386725580605,0.002141908312978287,b,0.8131010000000001,1.49,0.7,0.6243230834508806,0.002852531341234757
3,201128338,0.9614281653388037,0.44578164543372356,0.5781066690353965,b,32.654115999999995,2.3,0.18,0.5483005297085757,0.2867875027142675
4,201132684,0.15159039281936362,0.1066848679494973,0.10288560044376358,b,10.060960000000001,30.05,6.26,0.903,0.04800685091310743
5,201132684,0.15159039281936362,0.1066848679494973,0.10288560044376358,c,5.90891,1.83,0.39,0.903,0.05732541855652492
6,201164625,0.023529555071610902,0.024676049924676206,0.01832660220232038,b,2.71144,2.14,0.72,1.290089323861778,0.009094325748990205
7,201166680,0.7740866347077611,0.36565887121983476,0.48301044976406865,b,24.941841,2.22,0.25,1.2930000000000001,0.1425773451133865
8,201166680,0.7740866347077611,0.36565887121983476,0.48301044976406865,c,11.540582,2.15,0.27,1.2930000000000001,0.1843390968263874
9,201211526,0.15770404149963868,0.10055961418613285,0.10474420589416714,b,21.072025,1.56,0.2,0.8705251136576477,0.039999666060499345
10,201234090,0.0014709312481900108,0.0011275326948754158,0.001017132826538446,b,37.274164,0.98,0.43,0.33899999999999997,0.0005784865442921307
11,201274010,1.2049785563778679,0.4802313626030308,0.7088763275916046,b,13.00838,2.53,0.35,0.9329999999999999,0.3427304476000878
12,201352100,2.3124744926928984,0.6371884460134782,1.146952073318824,b,13.382207999999999,2.87,0.35,0.8663162414447578,0.6845697855028258
13,201386739,5.470389034100875,0.7299056312653427,1.7672044096406307,b,5.767432,3.69,0.34,0.8719662028545607,2.134627767624736
14,201390048,0.14371744122568691,0.0894035247986451,0.09552991776012662,b,9.458907,1.51,0.18,0.746,0.05276829954130328
15,201390927,0.30378281640711796,0.16344427116769367,0.19428064863659256,b,2.6379259999999998,1.77,0.16,0.585,0.20075881935439016
16,201392505,3.7355093357920737,0.6969456543292427,1.4195477310410896,b,27.459623999999998,3.15,0.24,0.7911280736845246,0.9245271169669504
17,201437844,7.364840036763858,0.8310283752263841,1.7991510445856687,b,21.057392999999998,4.19,0.32,1.202,1.5068041368835603
18,201437844,7.364840036763858,0.8310283752263841,1.7991510445856687,c,9.552621,2.32,0.24,1.202,1.9610296296602703
19,201595106,0.10080854952334992,0.06988636823154179,0.07175885299720318,b,0.877129,1.74,0.39,1.0199950523699592,0.06638155279405748
20,201598502,0.4502883683926671,0.25480866143677344,0.2760205431636882,b,7.514982000000001,2.0,0.26,0.44799999999999995,0.2507832487791884
21,201615463,1.141623232197718,0.48084416639938543,0.6243720935525946,b,8.526224000000001,2.65,0.49,1.135,0.3280266259372633
22,228707509,22.900262539965574,2.472242346910967,4.432960450830311,b,15.350901,12.93,1.29,0.815,6.744808970049337
23,228721452,0.20239085885845617,0.1384207125613023,0.13786209986218972,b,4.563294,1.92,0.39,1.189,0.06944058211788771
24,228725791,3.9824213861670095,2.807206597763584,3.738390255422889,b,2.250263,14.02,5.39,0.436,3.3757777132245463
25,228725791,3.9824213861670095,2.807206597763584,3.738390255422889,c,6.491739,1.79,0.25,0.436,2.3713623366271834
26,228725972,0.32428992166870435,0.20556337609964798,0.2263147690777196,b,8.958003,2.07,0.41,1.012,0.09894163685097514
27,228729473,25.179809900903734,2.7372566958366704,4.754308737472705,b,16.773321,15.61,2.31,1.0420138110331445,6.112413892367505
